MATCH,DATE,PLACEMENT,MAP,MODE,DAMAGE,KILLS
1,08/22/2019,19/100,Sanhok,SOLO-FPP,102,1
2,08/22/2019,22/100,Sanhok,SOLO-FPP,360.86,2
3,08/22/2019,17/100,Erangel,SQUAD-FPP,0,0
4,08/22/2019,29/100,Vikendi,SQUAD-FPP,0,0
5,08/22/2019,19/100,Vikendi,SQUAD-FPP,127.58,0
6,08/22/2019,16/100,Vikendi,SQUAD-FPP,100,1
7,08/22/2019,22/100,Vikendi,SQUAD-FPP,174.21,0
8,08/22/2019,19/100,Vikendi,SQUAD-FPP,0,0
9,08/22/2019,1/100,Vikendi,DUO-FPP,592.12,4
10,08/22/2019,7/100,Vikendi,SQUAD-FPP,100.0,1
11,08/22/2019,3/100,Vikendi,SQUAD-FPP,513.3,5
12,08/22/2019,25/100,Vikendi,SQUAD-FPP,380.03,1
13,08/22/2019,19/100,Vikendi,SQUAD-FPP,126.22,1
14,08/22/2019,14/100,Sanhok,SQUAD-FPP,311.3,4
15,08/22/2019,2/100,Sanhok,SQUAD-FPP,1036.15,8
16,08/22/2019,22/100,Sanhok,SQUAD-FPP,320.0,2
17,08/22/2019,20/100,Sanhok,SQUAD-FPP,75.03,0
18,08/22/2019,27/100,Sanhok,SQUAD-FPP,157.81,1
19,08/22/2019,13/100,Sanhok,DUO-FPP,410.27,2
20,08/22/2019,36/100,Sanhok,DUO-FPP,100,0
21,08/22/2019,26/100,Vikendi,DUO-FPP,121.28,0
22,08/21/2019,6/100,Vikendi,DUO-FPP,439.99,3
23,08/21/2019,40/100,Vikendi,DUO-FPP,100,1
24,08/21/2019,13/100,Mirimar,DUO-FPP,100.0,1
25,08/21/2019,3/100,Sanhok,DUO-FPP,758.65,7
26,08/21/2019,7/100,Vikendi,DUO-FPP,195.44,1
27,08/21/2019,1/100,Vikendi,DUO-FPP,299.76,4
28,08/21/2019,6/100,Vikendi,SQUAD-FPP,315.44,2
29,08/21/2019,12/100,Vikendi,SQUAD-FPP,780.4,2
30,08/21/2019,3/100,Vikendi,SQUAD-FPP,391.62,0
31,08/21/2019,26/100,Vikendi,SQUAD-FPP,249.2,2
32,08/21/2019,8/100,Vikendi,SQUAD-FPP,128.63,2
33,08/21/2019,47/100,Vikendi,DUO-FPP,0,0
34,08/21/2019,28/100,Erangel,DUO-FPP,0,0
35,08/21/2019,9/100,Vikendi,SQUAD-FPP,200.0,2
36,08/21/2019,27/100,Vikendi,SQUAD-FPP,69.4,0
37,08/21/2019,18/100,Erangel,SQUAD-FPP,36.71,0
38,08/21/2019,25/100,Erangel,SQUAD-FPP,0,0
39,08/21/2019,14/100,Mirimar,SQUAD-FPP,367.28,3
40,08/21/2019,23/100,Sanhok,SQUAD-FPP,0,0
41,08/21/2019,7/100,Sanhok,DUO-FPP,236.9,2
42,08/20/2019,37/100,Sanhok,SOLO-FPP,0,0
43,08/20/2019,27/100,Sanhok,SOLO-FPP,0,0
44,08/20/2019,24/100,Sanhok,SQUAD-FPP,167.24,0
45,08/20/2019,6/100,Sanhok,SQUAD-FPP,508.84,5
46,08/20/2019,12/100,Sanhok,SQUAD-FPP,246.53,1
47,08/20/2019,8/100,Vikendi,SQUAD-FPP,268.88,2
48,08/20/2019,1/100,Sanhok,SQUAD-FPP,97.94,1
49,08/20/2019,16/100,Vikendi,SQUAD-FPP,0,0
50,08/20/2019,7/100,Sanhok,DUO-FPP,348.37,4
51,08/20/2019,11/100,Sanhok,DUO-FPP,221.28,2
52,08/20/2019,3/100,Erangel,SQUAD-FPP,567.91,3
53,08/20/2019,18/100,Sanhok,SQUAD-FPP,140.95,0
