MATCH,DATE,PLACEMENT,MAP,MODE,DAMAGE,KILLS
54,08/20/2019,2/100,Sanhok,SQUAD-FPP,810.62,6
55,08/20/2019,25/100,Sanhok,SQUAD-FPP,28.11,0
56,08/20/2019,22/100,Mirimar,SQUAD-FPP,266.35,1
57,08/20/2019,26/100,Vikendi,DUO-FPP,200,2
58,08/20/2019,13/100,Sanhok,DUO-FPP,584.87,4
59,08/20/2019,38/100,Sanhok,DUO-FPP,0,0
60,08/20/2019,18/100,Erangel,SOLO-FPP,216.24,2
61,08/20/2019,15/100,Sanhok,SOLO-FPP,247.63,1
62,08/19/2019,8/100,Vikendi,DUO-FPP,452.18,4
63,08/19/2019,33/100,Sanhok,DUO-FPP,28.59,0
64,08/19/2019,18/100,Erangel,DUO-FPP,184.81,1
65,08/19/2019,15/100,Vikendi,DUO-FPP,438.49,4
66,08/19/2019,29/100,Sanhok,DUO-FPP,275.5,2
67,08/19/2019,21/100,Erangel,DUO-FPP,294.51,2
68,08/19/2019,32/100,Vikendi,DUO-FPP,223.06,2
69,08/19/2019,4/100,Erangel,DUO-FPP,810.2,6
70,08/19/2019,16/100,Sanhok,DUO-FPP,131.02,1
71,08/19/2019,30/100,Vikendi,DUO-FPP,0,0
72,08/19/2019,35/100,Erangel,SOLO-FPP,158.43,1
73,08/18/2019,4/100,Sanhok,SQUAD-FPP,254.83,1
74,08/18/2019,18/100,Erangel,SQUAD-FPP,71.89,0
75,08/18/2019,14/100,Sanhok,SQUAD-FPP,208.65,2
76,08/18/2019,12/100,Sanhok,SQUAD-FPP,0,0
77,08/18/2019,26/100,Sanhok,SQUAD-FPP,0,0
78,08/18/2019,19/100,Erangel,SQUAD-FPP,305.7,1
79,08/18/2019,16/100,Mirimar,DUO-FPP,100.0,1
80,08/18/2019,36/100,Vikendi,DUO-FPP,0,0
81,08/18/2019,3/100,Sanhok,DUO-FPP,395.51,6
82,08/18/2019,37/100,Sanhok,DUO-FPP,82.84,0
83,08/18/2019,1/100,Sanhok,SQUAD-FPP,639.09,4
84,08/18/2019,13/100,Vikendi,SQUAD-FPP,408.01,3
85,08/18/2019,1/100,Vikendi,SQUAD-FPP,296.25,6
86,08/18/2019,5/100,Mirimar,SQUAD-FPP,277.94,3
87,08/18/2019,15/100,Sanhok,SQUAD-FPP,0,0
88,08/18/2019,23/100,Vikendi,SQUAD-FPP,141.32,2
89,08/18/2019,27/100,Sanhok,SQUAD-FPP,0,0
90,08/17/2019,30/100,Sanhok,DUO-FPP,176.26,0
91,08/17/2019,22/100,Vikendi,DUO-FPP,51.66,0
92,08/17/2019,48/100,Erangel,DUO-FPP,126.32,0
93,08/17/2019,32/100,Erangel,DUO-FPP,77.95,0
94,08/17/2019,38/100,Sanhok,DUO-FPP,72.16,0
95,08/17/2019,4/100,Vikendi,DUO-FPP,646.08,7
96,08/17/2019,15/100,Vikendi,DUO-FPP,76.4,1
97,08/17/2019,9/100,Vikendi,DUO-FPP,531.83,4
98,08/17/2019,27/100,Vikendi,DUO-FPP,200,2
99,08/17/2019,23/100,Vikendi,SQUAD-FPP,159.45,1
100,08/17/2019,21/100,Erangel,SQUAD-FPP,403.71,3
101,08/17/2019,1/100,Erangel,SQUAD-FPP,622.44,5
102,08/17/2019,2/100,Mirimar,SQUAD-FPP,560.5,6
103,08/17/2019,19/100,Vikendi,SQUAD-FPP,258.14,0
104,08/17/2019,17/100,Vikendi,SQUAD-FPP,314.53,1
105,08/17/2019,2/100,Vikendi,SQUAD-FPP,170.09,0
106,08/17/2019,20/100,Sanhok,SQUAD-FPP,0,0
107,08/17/2019,27/100,Sanhok,SQUAD-FPP,92.89,0
108,08/17/2019,21/100,Sanhok,SQUAD-FPP,185.57,0
109,08/17/2019,4/100,Erangel,SQUAD-FPP,480.74,2
110,08/17/2019,2/100,Sanhok,SQUAD-FPP,677.06,5
111,08/17/2019,23/100,Mirimar,SQUAD-FPP,85.41,0
112,08/17/2019,7/100,Vikendi,SQUAD-FPP,589.98,1
113,08/17/2019,9/100,Vikendi,SQUAD-FPP,103.95,0
114,08/17/2019,15/100,Vikendi,SQUAD-FPP,599.4,6
115,08/17/2019,23/100,Vikendi,SQUAD-FPP,234.12,1
116,08/17/2019,25/100,Vikendi,SQUAD-FPP,447.24,4
117,08/17/2019,7/100,Vikendi,SQUAD-FPP,867.89,5
118,08/17/2019,2/100,Sanhok,DUO-FPP,722.19,6
119,08/17/2019,33/100,Sanhok,DUO-FPP,100.0,1
120,08/17/2019,24/100,Sanhok,DUO-FPP,0,0
121,08/17/2019,11/100,Sanhok,DUO-FPP,200.0,2
122,08/16/2019,10/100,Mirimar,SQUAD-FPP,254.64,2
123,08/16/2019,1/100,Vikendi,SQUAD-FPP,440.47,4
124,08/16/2019,10/100,Mirimar,SQUAD-FPP,310.88,1
125,08/16/2019,6/100,Sanhok,SQUAD-FPP,705.33,4
126,08/16/2019,7/100,Sanhok,SQUAD-FPP,0,0
127,08/16/2019,17/100,Mirimar,SQUAD-FPP,100,1
128,08/16/2019,10/100,Sanhok,SQUAD-FPP,314.52,2
129,08/16/2019,19/100,Erangel,SQUAD-FPP,0,0
130,08/16/2019,13/100,Erangel,SQUAD-FPP,181.42,0
131,08/16/2019,13/100,Erangel,SQUAD-FPP,334.99,2
132,08/16/2019,1/100,Erangel,SQUAD-FPP,671.67,4
133,08/16/2019,48/100,Erangel,DUO-FPP,168.96,1
134,08/16/2019,44/100,Erangel,DUO-FPP,284.6,2
135,08/16/2019,25/100,Sanhok,DUO-FPP,417.14,3
136,08/16/2019,26/100,Vikendi,DUO-FPP,175.99,2
137,08/16/2019,3/100,Sanhok,DUO-FPP,360.67,4
138,08/16/2019,2/100,Sanhok,DUO-FPP,374.75,4
139,08/16/2019,8/100,Erangel,DUO-FPP,92.24,0
140,08/16/2019,46/100,Erangel,SOLO-FPP,85.56,0
141,08/16/2019,97/100,Sanhok,SOLO-FPP,0,0
142,08/16/2019,15/100,Sanhok,SOLO-FPP,104.82,0
143,08/15/2019,9/100,Sanhok,SQUAD-FPP,226.26,2
144,08/15/2019,13/100,Sanhok,SQUAD-FPP,202.63,0
145,08/15/2019,15/100,Mirimar,SQUAD-FPP,247.81,2
146,08/15/2019,27/100,Erangel,SQUAD-FPP,0,0
147,08/15/2019,21/100,Vikendi,SQUAD-FPP,277.95,2
148,08/15/2019,23/100,Vikendi,SQUAD-FPP,182,2
149,08/15/2019,9/100,Vikendi,SQUAD-FPP,445.54,3
150,08/15/2019,5/100,Sanhok,SQUAD-FPP,266.18,1
151,08/15/2019,9/100,Sanhok,SQUAD-FPP,28.2,0
152,08/15/2019,33/100,Sanhok,DUO-FPP,48.3,0
153,08/15/2019,38/100,Sanhok,SOLO-FPP,21.15,0
154,08/15/2019,59/100,Sanhok,SOLO-FPP,188.19,0
155,08/15/2019,23/100,Sanhok,SOLO-FPP,184.54,2
156,08/15/2019,18/100,Sanhok,SOLO-FPP,391,4
157,08/15/2019,2/100,Sanhok,SOLO-FPP,328.13,4
158,08/15/2019,1/100,Sanhok,SOLO-FPP,513.45,3
159,08/15/2019,1/100,Sanhok,SOLO-FPP,617.87,6
160,08/14/2019,17/100,Sanhok,DUO-FPP,349.96,2
161,08/14/2019,23/100,Sanhok,DUO-FPP,89.51,0
162,08/14/2019,43/100,Sanhok,DUO-FPP,77.8,0
163,08/14/2019,17/100,Sanhok,SQUAD-FPP,130.36,0
164,08/14/2019,21/100,Erangel,SQUAD-FPP,168.98,1
165,08/14/2019,8/100,Sanhok,SQUAD-FPP,233.29,0
166,08/14/2019,6/100,Sanhok,DUO-FPP,434.58,3
167,08/14/2019,17/100,Sanhok,DUO-FPP,336.4,4
168,08/14/2019,34/100,Sanhok,DUO-FPP,200.0,2
169,08/14/2019,59/100,Sanhok,SOLO-FPP,286,2
170,08/14/2019,19/100,Sanhok,SQUAD-FPP,425.89,3
171,08/14/2019,19/100,Erangel,SQUAD-FPP,322.54,1
172,08/14/2019,7/100,Sanhok,SQUAD-FPP,24.84,0
173,08/14/2019,7/100,Vikendi,DUO-FPP,500.0,5
174,08/14/2019,10/100,Vikendi,DUO-FPP,0,0
175,08/14/2019,35/100,Vikendi,DUO-FPP,20.28,0
176,08/13/2019,3/100,Vikendi,SQUAD-FPP,585.22,5
177,08/13/2019,4/100,Vikendi,SQUAD-FPP,935.66,6
178,08/13/2019,21/100,Vikendi,SQUAD-FPP,56.76,1
179,08/13/2019,1/100,Vikendi,SQUAD-FPP,898.7,8
180,08/13/2019,14/100,Vikendi,SQUAD-FPP,628.4,3
181,08/13/2019,47/100,Vikendi,DUO-FPP,26.79,0
182,08/13/2019,1/100,Vikendi,DUO-FPP,1023.3,6
183,08/13/2019,1/100,Erangel,DUO-FPP,958.58,9
184,08/13/2019,9/100,Erangel,DUO-FPP,200,1
185,08/13/2019,15/100,Erangel,DUO-FPP,71.42,2
186,08/13/2019,23/100,Sanhok,DUO-FPP,100.0,1
187,08/13/2019,20/100,Sanhok,DUO-FPP,290.71,2
188,08/13/2019,44/100,Sanhok,DUO-FPP,0,0
189,08/13/2019,14/100,Mirimar,SQUAD-FPP,166.77,3
190,08/13/2019,7/100,Mirimar,SQUAD-FPP,491.82,2
191,08/13/2019,3/100,Sanhok,DUO-FPP,773.87,3
192,08/13/2019,37/100,Sanhok,DUO-FPP,223.37,2
193,08/13/2019,32/100,Sanhok,DUO-FPP,91.08,0
194,08/12/2019,26/100,Sanhok,DUO-FPP,410.2,1
195,08/12/2019,24/100,Erangel,SQUAD-FPP,97.17,0
196,08/12/2019,19/100,Sanhok,SQUAD-FPP,192.3,2
197,08/12/2019,13/100,Vikendi,SQUAD-FPP,419.46,3
198,08/12/2019,25/100,Erangel,SQUAD-FPP,173.5,1
199,08/12/2019,20/100,Sanhok,SQUAD-FPP,193.55,2
200,08/12/2019,20/100,Vikendi,SQUAD-FPP,366.27,2

  Stats for dstlny accross 200 matches
  - Won 13 out of 200 games
  - Averages 1.84 kills per game
  - Total of 369 kills and 53235.3 damage across 200 matches
  - Highest kill game of 9 in DUO-FPP
